Country,Wave,Proportion of Crop Production Value Sold,Non-Farm Share of HH Income,Indicator,Count,Mean,Std. Dev,Min.,Max.,Median
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Head of Household is Female,141,0.3209591,0.4685094,0,1,0
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Head of Household Age,141,53.25253,16.67202,19,108,51
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Number of Female HH Members,141,3.047078,1.880011,0,8,3
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Number of Male HH Members,141,2.913357,1.968196,0,8,3
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Number of HH Members Between Age 15-64,141,2.895717,1.632533,0,7,3
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Household is Rural,141,0.9386321,0.2408596,0,1,1
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Total Landholding (ha),141,3.101388,3.953,0.0809371,22.7838,1.821085
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Total Area Planted (ha),141,1.170346,0.9400039,0.0202343,3.763577,0.8943553
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Count of Cattle Currently Owned,141,5.971323,10.35817,0,38,0
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Count of Poultry Currently Owned,141,7.778621,11.70342,0,50,2
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Count of Other Livestock Currently Owned,141,6.231614,9.290869,0,37,0
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Household Owns Land/Mobile Phone,141,0.4548717,0.4997345,0,1,0
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Distance to Nearest Ag. Market (km),141,86.98884,47.83094,2.1,226.1,87.3
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Total Household Income in Last Year (TSH),141,306402.5,651158.4,0,3996500,7000
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Farm Productivity: Total Agricultural Income/Total Landholding (TSH/ha),141,123532.8,356715,0,2611549,2907.122
Tanzania,3,a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,Value of Inorganic Fertilizer per Hectare Cultivated (TSH/ha),141,10853.21,41520.73,0,269569.5,0
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Head of Household is Female,21,0.4577239,0.5105128,0,1,0
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Head of Household Age,21,48.19575,15.30055,27,78,41
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Number of Female HH Members,21,3.228235,1.25895,1,6,3
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Number of Male HH Members,21,3.125696,2.641325,0,11,2
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Number of HH Members Between Age 15-64,21,2.473958,1.510504,0,6,2
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Household is Rural,21,0.7938284,0.4145457,0,1,1
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Total Landholding (ha),21,3.283125,4.101563,0.477529,16.6083,1.829179
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Total Area Planted (ha),21,0.9253649,0.8820925,0.0607028,2.885409,0.477529
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Count of Cattle Currently Owned,21,3.038495,6.865617,0,29,0
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Count of Poultry Currently Owned,21,11.67325,13.88831,0,50,7
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Count of Other Livestock Currently Owned,21,8.085442,11.88637,0,37,4
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Household Owns Land/Mobile Phone,21,0.7280011,0.4559784,0,1,1
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Distance to Nearest Ag. Market (km),21,75.46899,41.64934,1.7,158.9,64.8
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Total Household Income in Last Year (TSH),21,1650288,2926698,7000,1.36E+07,325000
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Farm Productivity: Total Agricultural Income/Total Landholding (TSH/ha),21,357211.2,548686.5,5148.029,2611549,83839.32
Tanzania,3,a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,Value of Inorganic Fertilizer per Hectare Cultivated (TSH/ha),21,18688.81,82372.79,0,411842.3,0
Tanzania,3,a) <= 5% of crop production sold,c) > 2/3  of HH income from non-farm sources,Head of Household is Female,600,0.311501,0.4634935,0,1,0
Tanzania,3,a) <= 5% of crop production sold,c) > 2/3  of HH income from non-farm sources,Head of Household Age,600,49.17726,16.77665,19,100,48
