Country,Wave,Farmer Segment,Proportion of Crop Production Value Sold,Non-Farm Share of HH Income,Number of HHs
Tanzania,3 (2012-13),1 (Lo-Lo),a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,25
Tanzania,3 (2012-13),1 (Lo-Lo),a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,5
Tanzania,3 (2012-13),1 (Lo-Lo),a) <= 5% of crop production sold,c) > 2/3  of HH income from non-farm sources,101
Tanzania,3 (2012-13),1 (Lo-Lo),b) 5% < of crop production sold <= 50%,a) <= 1/3 of HH income from non-farm sources,109
Tanzania,3 (2012-13),1 (Lo-Lo),b) 5% < of crop production sold <= 50%,b) 1/3 <  of HH income from non-farm sources <= 2/3,36
Tanzania,3 (2012-13),1 (Lo-Lo),b) 5% < of crop production sold <= 50%,c) > 2/3  of HH income from non-farm sources,120
Tanzania,3 (2012-13),1 (Lo-Lo),c) > 50% of crop production sold,a) <= 1/3 of HH income from non-farm sources,76
Tanzania,3 (2012-13),1 (Lo-Lo),c) > 50% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,47
Tanzania,3 (2012-13),1 (Lo-Lo),c) > 50% of crop production sold,c) > 2/3  of HH income from non-farm sources,52
Tanzania,3 (2012-13),2 (Lo-Hi),a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,43
Tanzania,3 (2012-13),2 (Lo-Hi),a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,4
Tanzania,3 (2012-13),2 (Lo-Hi),a) <= 5% of crop production sold,c) > 2/3  of HH income from non-farm sources,107
Tanzania,3 (2012-13),2 (Lo-Hi),b) 5% < of crop production sold <= 50%,a) <= 1/3 of HH income from non-farm sources,46
Tanzania,3 (2012-13),2 (Lo-Hi),b) 5% < of crop production sold <= 50%,b) 1/3 <  of HH income from non-farm sources <= 2/3,25
Tanzania,3 (2012-13),2 (Lo-Hi),b) 5% < of crop production sold <= 50%,c) > 2/3  of HH income from non-farm sources,59
Tanzania,3 (2012-13),2 (Lo-Hi),c) > 50% of crop production sold,a) <= 1/3 of HH income from non-farm sources,57
Tanzania,3 (2012-13),2 (Lo-Hi),c) > 50% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,22
Tanzania,3 (2012-13),2 (Lo-Hi),c) > 50% of crop production sold,c) > 2/3  of HH income from non-farm sources,41
Tanzania,3 (2012-13),3 (Hi-Lo),a) <= 5% of crop production sold,a) <= 1/3 of HH income from non-farm sources,41
Tanzania,3 (2012-13),3 (Hi-Lo),a) <= 5% of crop production sold,b) 1/3 <  of HH income from non-farm sources <= 2/3,8
Tanzania,3 (2012-13),3 (Hi-Lo),a) <= 5% of crop production sold,c) > 2/3  of HH income from non-farm sources,171
Tanzania,3 (2012-13),3 (Hi-Lo),b) 5% < of crop production sold <= 50%,a) <= 1/3 of HH income from non-farm sources,121
Tanzania,3 (2012-13),3 (Hi-Lo),b) 5% < of crop production sold <= 50%,b) 1/3 <  of HH income from non-farm sources <= 2/3,42
Tanzania,3 (2012-13),3 (Hi-Lo),b) 5% < of crop production sold <= 50%,c) > 2/3  of HH income from non-farm sources,130
Tanzania,3 (2012-13),3 (Hi-Lo),c) > 50% of crop production sold,a) <= 1/3 of HH income from non-farm sources,146
