rn,svyL1Name,svyL2Code,svyL2Name,DISTRICT,CAPITAL,REGION,AEZ16_CLAS,FS_2012_TX,LGP_AVG,LGP_CV,TT_20K,TT_50K,ELEVATION,pre_mean,pre_cv,TPOV_PT200,TPOV_PT125,soc_d5,soc_d15,soc_d30,PN12_TOT,area_km,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,2by2count,2by2sum,2by2mean,2by2min,2by2max
0,Ashanti,617,Ahafo Ano North,AHAFO ANO NORTH,Tepa,Ashanti,Tropic - warm / humid,2. Humid lowland tree crop,293.3333333,7,4.783333333,4.816666667,238.6666667,1303,17,65.83333333,32.66666667,29.42333333,14.65166667,7.585,58482,574.1971167,26.70833333,9.450308642,62.3300074,138.4137056,34.85462963,19.62222222,15.23240741,28.43333333,25.32808642,28.57561728,25.31898148,377.2018519,34.85462963,28.38703704,6.298383991,101.9462963,86.74907407,101.7648148,86.91481481,57,175,3.070175439,3,4
1,Ashanti,616,Ahafo Ano South,AHAFO ANO SOUTH,Mankranso,Ashanti,Tropic - warm / humid,7. Root and tuber crop,296.1538462,7,3.561538462,3.653846154,301,1291.923077,17.30769231,66.53846154,32.76923077,35.22692308,19.71461538,10.82,163526,1241.391856,26.78070988,9.384259259,64.40601346,127.6495206,34.58703704,19.96481481,14.62222222,28.37993827,25.44351852,28.4882716,25.43703704,377.6740741,34.58703704,28.4962963,5.939495608,101.5555556,87.18148148,101.4333333,87.27592593,119,438,3.680672269,3,4
2,Ashanti,602,Amansie West,AMANSIE WEST,Manso Nkwanta,Ashanti,Tropic - warm / humid,2. Humid lowland tree crop,306.4666667,6,2.906666667,3.52,197.9333333,1326.8,17.6,66.06666667,32.4,33.57533333,17.276,9.340666667,147451,1223.535295,26.81514275,9.211535494,66.79006122,117.7457248,34.24768519,20.39074074,13.85694444,28.25354938,25.50424383,28.35131173,25.50023148,377.0509259,34.24768519,28.54953704,5.648716286,100.9476852,87.29398148,100.8194444,87.33703704,126,461,3.658730159,3,4
3,Ashanti,610,Asante Akim North,ASANTE-AKYEM NORTH MUNICIPAL,Konongo-Odumase,Ashanti,Tropic - warm / humid,7. Root and tuber crop,298.6470588,7.294117647,3.470588235,5.017647059,215.4117647,1266.823529,16.47058824,63.35294118,30.23529412,24.85941176,16.73235294,9.558823529,161339,1497.103337,26.81376543,9.393024691,65.99375916,124.5144514,34.55,20.25296296,14.29703704,28.33493827,25.40080247,28.46351852,25.39783951,378.1233333,34.55,28.50777778,6.03645509,101.652963,87.00740741,101.4944444,87.01555556,148,410,2.77027027,0,4
4,Ashanti,609,Asante Akim South,ASANTE AKIM SOUTH,Juaso,Ashanti,Tropic - warm / humid,2. Humid lowland tree crop,307.2142857,7,2.564285714,3.235714286,220.0714286,1284.571429,15.85714286,63.07142857,30.28571429,31.44142857,16.94642857,8.857857143,125848,1174.86617,26.57654321,9.127623457,67.55736748,116.0709417,33.92361111,20.35555556,13.56805556,28.00493827,25.23109568,28.09012346,25.22839506,373.6842593,33.92361111,28.29398148,5.703546799,100.0449074,86.35787037,99.94444444,86.36018519,116,420,3.620689655,3,4
5,Ashanti,626,Ejura Sekye Dumasi,EJURA SEKYIDUMASI,Ejura,Ashanti,Tropic - warm / humid,7. Root and tuber crop,287,7,1.853846154,3.469230769,210.1538462,1250,15.30769231,64.69230769,31.46153846,16.77153846,11.94230769,6.326923077,86518,1322.497973,26.89211034,9.763078704,62.75883258,141.4248365,35.3087963,19.70277778,15.60601852,28.61234568,25.36566358,28.82307099,25.36141975,381.2837963,35.3087963,28.50925926,6.712217026,103.424537,86.97962963,103.1240741,87.00092593,129,490,3.798449612,3,4
6,Brong Ahafo,703,Asutifi,ASUTIFI,Kenyasi,Brong Ahafo,Tropic - warm / humid,2. Humid lowland tree crop,289.6111111,7.666666667,4.438888889,4.6,221.4444444,1263.166667,16.66666667,74.61111111,39.88888889,28.69,14.07555556,6.958888889,94164,1568.53512,26.75353009,9.496257716,62.94203705,137.2349531,34.87268519,19.71805556,15.15462963,28.44498457,25.35154321,28.59783951,25.34398148,378.0199074,34.87268519,28.42314815,6.305328381,102.1222222,86.88148148,101.9152778,86.99953704,157,480,3.057324841,3,4
7,Brong Ahafo,710,Berekum,BEREKUM MUNICIPAL,Berekum,Brong Ahafo,Tropic - warm / humid,2. Humid lowland tree crop,277.2,8.2,2.04,2.56,295.8,1195.5,17,73.2,39.4,25.331,14.298,6.799,113413,883.8373556,26.75119599,9.768209877,61.55504213,147.8745074,35.34583333,19.42685185,15.91898148,28.51790123,25.20941358,28.75092593,25.20223765,379.6236111,35.34583333,28.2875,6.929082968,103.2861111,86.44814815,102.8819444,86.5287037,89,236,2.651685393,0,4
8,Brong Ahafo,715,Techiman,TECHIMAN MUNICIPAL,Techiman,Brong Ahafo,Tropic - warm / humid,7. Root and tuber crop,277.8461538,7.153846154,1.876923077,4.030769231,370.6923077,1207.538462,15.38461538,71.07692308,37.76923077,20.66615385,14.71538462,6.961538462,217072,1081.849084,26.66921296,9.719135802,61.63538809,145.8637841,35.20462963,19.38564815,15.81898148,28.44359568,25.1587963,28.6617284,25.15231481,378.3453704,35.20462963,28.26805556,6.830028473,102.8726852,86.28888889,102.5425926,86.36666667,107,271,2.53271028,0,4
9,Central,205,Ajumanku / Enyan / Essiam,AJUMAKO/ENYAN/ESIYAM,Ajumako,Central,Tropic - warm / subhumid,2. Humid lowland tree crop,268.6,10.8,1.94,2.14,74.8,1133.2,24.8,62,25,29.1,14.808,7.422,99347,519.8343459,26.98042052,7.251736111,66.36528685,118.8968317,32.91851852,21.98101852,10.9375,28.30640432,25.41458333,28.3367284,25.41157407,367.275463,32.91851852,27.61944444,5.597422441,97.53796296,84.56157407,97.47777778,84.56851852,49,194,3.959183673,3,4
