ISO3,svyCode,svyL1Cd,svyL1Nm,svyL2Cd,svyL2Nm,prttyNm,areakm,X,Y,rn,ez,statscount,statssum,statsmean,statsmedia,statsstdev,statsmin,statsmax,statsrange,statsminor,statsmajor,statsvarie
GHA,gha-glss6,6.000000000000000,Ashanti,17.000000000000000,Ahafo Ano North,Ahafo Ano North,574.197116732951031,-2.218565509079050,6.901315967707640,0,Forest,14424,44326,3.07307265668331,3,0.260255727177227,3,4,1,4,3,2
GHA,gha-glss6,6.000000000000000,Ashanti,16.000000000000000,Ahafo Ano South,Ahafo Ano South,1241.391856399636254,-1.977763348431185,6.896252811654484,1,Forest,31180,114125,3.66019884541373,4,0.473641562711965,3,4,1,3,4,2
GHA,gha-glss6,6.000000000000000,Ashanti,2.000000000000000,Amansie West,Amansie West,1223.535294872984196,-1.931610603738375,6.378705103885574,2,Forest,30752,113100,3.67780957336108,4,0.467315477617961,3,4,1,3,4,2
GHA,gha-glss6,6.000000000000000,Ashanti,10.000000000000000,Asante Akim North,Asante Akim North,1497.103336966488087,-1.043520092220114,6.789644485300697,3,Forest,37597,106022,2.81995903928505,3,1.13587736017913,0,4,4,1,3,4
GHA,gha-glss6,6.000000000000000,Ashanti,9.000000000000000,Asante Akim South,Asante Akim South,1174.866170492823130,-1.118907843671682,6.476154949786606,4,Forest,29536,107195,3.62929983748646,4,0.512380707803453,0,4,4,0,4,3
GHA,gha-glss6,6.000000000000000,Ashanti,26.000000000000000,Ejura Sekye Dumasi,Ejura Sekye Dumasi,1322.497973124741748,-1.430230753218163,7.384480930100033,5,Forest,33189,125881,3.79285305372262,4,0.405261753593244,3,4,1,3,4,2
GHA,gha-glss6,7.000000000000000,Brong Ahafo,3.000000000000000,Asutifi,Asutifi,1568.535119990949852,-2.467773283405111,6.971599525547959,6,Forest,39352,119631,3.04002337873552,3,0.196014050236474,3,4,1,4,3,2
GHA,gha-glss6,7.000000000000000,Brong Ahafo,10.000000000000000,Berekum,Berekum,883.837355586760850,-2.618949236593394,7.493256436992471,7,Forest,22167,61899,2.79239409933685,3,0.976065758223986,0,4,4,4,3,3
GHA,gha-glss6,7.000000000000000,Brong Ahafo,15.000000000000000,Techiman,Techiman,1081.849083893936950,-1.962908942421074,7.595252382555167,8,Savannah,27130,71316,2.62867674161445,3,1.50454881592966,0,4,4,0,3,3
GHA,gha-glss6,2.000000000000000,Central,5.000000000000000,Ajumanku / Enyan / Essiam,Ajumanku / Enyan / Essiam,519.834345894570447,-0.985865566845538,5.419832691476513,9,Forest,13088,51913,3.96645782396088,4,0.180047489473366,3,4,1,3,4,2
GHA,gha-glss6,2.000000000000000,Central,3.000000000000000,Abura / Asebu / Kwamankese,Abura / Asebu / Kwamankese,374.591178216528874,-1.204277468635753,5.275555224869761,10,Forest,9430,35328,3.74634146341463,4,0.974828955847436,0,4,4,0,4,2
GHA,gha-glss6,2.000000000000000,Central,12.000000000000000,Asikuma / Odoben / Brakwa,Asikuma / Odoben / Brakwa,806.371018568803152,-1.008449074435116,5.630903732984375,11,Forest,20303,77016,3.79333103482244,4,0.404915922149256,3,4,1,3,4,2
GHA,gha-glss6,2.000000000000000,Central,2.000000000000000,Cape Coast,Cape Coast,102.514999234888549,-1.295348446697945,5.160339616917229,12,Coastal,2575,4464,1.73359223300971,0,1.98217731338223,0,4,4,4,0,2
GHA,gha-glss6,2.000000000000000,Central,1.000000000000000,Komenda / Edina / Eguafo / Abirem,Komenda / Edina / Eguafo / Abirem,474.804310538832226,-1.454648845458698,5.132151160387565,13,Coastal,11977,27771,2.31869416381398,3,1.87682269264163,0,4,4,3,4,3
GHA,gha-glss6,2.000000000000000,Central,4.000000000000000,Mfantsiman,Mfantsiman,575.974831873566586,-1.015184688015827,5.257298034760787,14,Coastal,14511,39960,2.75377299979326,4,1.85251889728027,0,4,4,0,4,2
GHA,gha-glss6,2.000000000000000,Central,15.000000000000000,Twifo / Heman / Lower Denkyira,Twifo / Heman / Lower Denkyira,1514.425028795378239,-1.538796028856057,5.564049475805275,15,Forest,38117,128618,3.37429493401894,3,0.650695898201369,0,4,4,0,3,3
GHA,gha-glss6,5.000000000000000,Eastern,6.000000000000000,Akwapim North,Akwapim North,611.211117166225449,-0.144533066955098,5.998094148174937,16,Forest,15368,51228,3.3334200937012,4,1.1259663973435,0,4,4,0,4,3
GHA,gha-glss6,5.000000000000000,Eastern,5.000000000000000,Akwapim South,Akwapim South,411.285062210060346,-0.284890103343419,5.838130939834990,17,Forest,10353,21636,2.0898290350623,4,1.9979816676986,0,4,4,0,4,2
GHA,gha-glss6,5.000000000000000,Eastern,10.000000000000000,Asuogyaman,Asuogyaman,827.221690365073982,0.089925625153475,6.403646496244612,18,Forest,20786,38528,1.85355527759069,2,1.73005287583638,0,4,4,3,0,4
GHA,gha-glss6,5.000000000000000,Eastern,12.000000000000000,Fanteakwa,Fanteakwa,1235.399052500212292,-0.350565066885189,6.485995687255828,19,Forest,31052,97486,3.13944351410537,3,1.15206955215148,0,4,4,0,3,3
GHA,gha-glss6,5.000000000000000,Eastern,14.000000000000000,Kwaebibirem,Kwaebibirem,1236.203074532484152,-0.846275390867984,6.155625400516569,20,Forest,31087,105527,3.39457007752437,4,1.13018805387611,0,4,4,2,4,4
